Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170823;6;15800;15448,025
20170823;7;18600;17343,275
20170823;8;20400;19449,688
20170823;9;21200;20643,050
20170823;10;21500;21166,300
20170823;11;21700;21201,350
20170823;12;21900;21521,175
20170823;13;22000;21524,838
20170823;14;22000;21470,438
20170823;15;21600;21126,063
20170823;16;21300;20977,300
20170823;17;20900;20643,838
20170823;18;20500;20241,525
20170823;19;20300;20133,288
20170823;20;21200;20556,150
20170823;21;21900;21547,013
20170823;22;20700;20440,088
20170823;23;18900;18811,188
20170823;24;17400;17362,400
20170824;1;16200;16300,188
20170824;2;15600;15684,863
20170824;3;15200;15257,675
20170824;4;15200;15308,988
20170824;5;15400;15529,250
20170824;6;15800;15694,675
20170824;7;18500;17563,238
20170824;8;20300;19619,150
20170824;9;21100;20801,638
20170824;10;21400;21306,988
20170824;11;21800;21301,050
20170824;12;22000;21713,988
20170824;13;22200;21833,150
20170824;14;22200;21803,900
20170824;15;21800;21502,463
20170824;16;21500;21234,750
20170824;17;21100;20901,200
20170824;18;20800;20495,575
20170824;19;20500;20357,550
20170824;20;21200;20904,888
20170824;21;21800;21764,950
20170824;22;20700;20694,125
20170824;23;18900;18927,750
20170824;24;17400;17542,650
20170825;1;16200;16448,325
20170825;2;15700;15735,825
20170825;3;15300;15345,913
20170825;4;15300;15470,888
20170825;5;15500;15543,588
20170825;6;15900;15806,750
20170825;7;18600;17617,213
20170825;8;20400;19565,775
20170825;9;21500;20857,913
20170825;10;21800;21415,563
20170825;11;22100;21481,338
20170825;12;22300;21799,663
20170825;13;22500;21942,663
20170825;14;22500;21982,250
20170825;15;22000;21589,413
20170825;16;21700;21331,375
20170825;17;21200;20901,675
20170825;18;20900;20572,238
20170825;19;20700;20507,650
20170825;20;21300;20837,650
20170825;21;22000;21689,938
20170825;22;20900;20419,988
20170825;23;19200;18937,075
20170825;24;17800;17543,738
20170826;1;16400;16441,263
20170826;2;15800;15806,038
20170826;3;15400;15297,713
20170826;4;15200;15205,188
20170826;5;15000;15161,113
20170826;6;14600;14884,113
20170826;7;16300;15719,475
20170826;8;17600;17182,375
20170826;9;18800;18615,988
20170826;10;19400;19449,288
20170826;11;19900;19762,513
20170826;12;20000;19932,313
20170826;13;19700;19790,713
20170826;14;19500;19469,450
20170826;15;18700;18794,563
20170826;16;18400;18436,763
20170826;17;18100;17997,900
20170826;18;17800;17895,313
20170826;19;17600;17756,338
20170826;20;18400;18025,650
20170826;21;19200;18935,713
20170826;22;18100;18063,375
20170826;23;16900;16920,488
20170826;24;15500;15801,600
20170827;1;14700;14835,663
20170827;2;14000;14020,700
20170827;3;13700;13739,888
20170827;4;13500;13579,363
20170827;5;13400;13442,550
20170827;6;13000;13164,775
20170827;7;13600;13158,263
20170827;8;14700;14035,488
20170827;9;15800;15328,238
20170827;10;16700;16292,113
20170827;11;17100;16936,575
20170827;12;17200;17202,600
20170827;13;17300;17189,650
20170827;14;17300;17060,750
20170827;15;17000;16600,625
20170827;16;16700;16270,525
20170827;17;16500;16041,538
20170827;18;16500;15962,150
20170827;19;16700;16222,600
20170827;20;17700;16861,275
